1;Zahir Burgess;49;777718
2;Dillon Aguirre;79;174951
3;Marvin Brennan;59;479862
4;Josiah Pickett;44;152547
5;Kennan Gates;90;822741
6;Samuel Middleton;33;223627
7;Slade Melton;83;832575
8;Brandon Harrell;46;122056
9;Jared Kirk;93;801070
10;Jarrod Mccormick;98;190529
11;Merritt Harding;76;236188
12;Blaze Solis;56;694692
13;Chancellor Davis;66;42563
14;Sebastian Marks;47;716665
15;Carlos Adams;68;306374
16;Geoffrey Rios;59;903676
17;Declan Foreman;79;787297
18;Tanner Nicholson;98;574670
19;Anthony Michael;86;174621
20;Ira Christensen;90;675777
21;Giacomo Guthrie;80;256759
22;Uriel Webster;98;118027
23;Warren Knapp;59;358874
24;Dennis Sawyer;48;560143
25;Brandon Weiss;54;18617
26;Lester Franklin;71;681304
27;Valentine Hall;89;421450
28;Justin Parker;36;947529
29;Ashton Rosales;43;14943
30;Otto Cervantes;38;708516
31;Marsden Larson;34;947591
32;Ethan French;65;471242
33;Davis Short;63;895293
34;Cade Bean;70;93926
35;Harlan Hess;65;981034
36;Brady Mccullough;95;199740
37;Gareth Burton;43;138267
38;Derek Frazier;89;950939
39;Russell Tate;93;185232
40;Christopher Hayes;75;481346
41;Cullen Burgess;56;401878
42;Cameron Ward;64;606774
43;Fitzgerald Wise;71;483514
44;Keaton Koch;77;951951
45;Lionel Stafford;35;919781
46;Carson Valenzuela;91;20620
47;Reed Richards;43;25289
48;Calvin Serrano;64;416948
49;Wade Soto;87;128141
50;Ray Finley;81;172265
51;Davis Francis;75;839592
52;Rigel Freeman;86;458312
53;Carson Steele;56;362567
54;Quinn Dillon;56;599939
55;Abraham Mack;73;183571
56;Garrett Bright;71;340028
57;Wing Harrison;62;771647
58;Melvin Clark;96;949786
59;Igor Maynard;85;304901
60;Tarik Mayo;83;75699
61;Hector Burris;59;241444
62;Flynn Rollins;88;378179
63;Ethan Hopkins;68;731863
64;Josiah Calhoun;34;513611
65;Jin Lancaster;49;215592
66;Mohammad Crosby;41;178952
67;Quinn Warner;63;677586
68;Jerome Dalton;82;968357
69;Erich Chaney;44;708493
70;Walter Baldwin;35;303502
71;Hunter Michael;31;26268
72;Paul Bowman;67;292311
73;Laith Russell;64;300460
74;Addison Moses;62;803166
75;Kieran Wagner;63;123713
76;Cade Curry;35;498707
77;Galvin Fields;44;338597
78;Edan Ewing;74;790848
79;Tiger Mullins;87;662990
80;Orlando Garza;97;352037
81;Brian Holt;75;156437
82;Barrett Bright;97;684524
83;Alfonso Hinton;86;195511
84;Lucas Stout;78;29980
85;Caleb Strickland;54;485230
86;Caesar Wise;49;67585
87;Lionel Blackburn;80;382864
88;Graham Nelson;81;542319
89;Benjamin Greene;78;195567
90;Hop Montoya;91;504488
91;Arden Newton;78;703103
92;Josiah Gross;81;710810
93;Cyrus Black;43;410926
94;Andrew Hughes;62;690483
95;Joel Cleveland;34;935497
96;Samuel Rodriquez;63;944046
97;Burton Castro;39;614959
98;Raja Zimmerman;37;853640
99;Mark Roth;69;216666
100;Callum Estes;95;419300
101;Evan Brock;88;403827
102;Kasimir Ferguson;36;100942
103;Honorato Carroll;31;312792
104;Vance Kim;47;91555
105;Malachi Hampton;79;455753
106;Gannon Russo;51;54187
107;Kyle Smith;47;769073
108;Brenden Cherry;42;477449
109;Declan Zamora;91;837478
110;Dennis Weeks;95;745166
111;Bernard Webster;33;49149
112;Herrod Flynn;38;119937
113;Maxwell Santana;69;67402
114;Leo Spears;37;228588
115;Nigel Graham;100;847181
116;Jesse Chase;52;802616
117;Callum Coleman;75;451971
118;Bruno Marshall;43;254734
119;Jeremy Diaz;50;972485
120;Jonas Hendrix;35;221138
121;Cole Morris;49;844986
122;Jared Guzman;34;234415
123;Octavius Baxter;35;263343
124;Cody Harrell;34;391899
125;Kelly Osborn;89;723623
126;Dane Atkins;98;777938
127;Daniel Duffy;83;795994
128;Mannix Sexton;30;888633
129;Ian Farmer;81;984153
130;Macon Rose;44;388374
131;Sawyer Fernandez;75;75692
132;Marvin Owen;62;258521
133;Garrison Fields;99;648296
134;Driscoll Walter;59;568573
135;Chaney Chavez;55;859568
136;Zeus Griffith;82;480457
137;Lucian Jimenez;62;303174
138;Deacon Nieves;78;127438
139;Walter Frye;43;629729
140;Acton Mooney;92;404673
141;Tyrone Sims;33;234654
142;Rafael Hutchinson;86;983635
143;Lewis Carroll;89;635361
144;Jasper Mccray;37;166864
145;Armando Martinez;62;342234
146;Connor Caldwell;62;196943
147;Henry Morales;87;465797
148;Declan Ortiz;90;205710
149;Joseph Torres;60;336207
150;Francis Cunningham;52;998505
151;Forrest Casey;74;880879
152;Orlando Powers;32;807668
153;Drew Kelly;40;543715
154;Lester Mcgowan;81;84223
155;Connor Lopez;68;515902
156;Connor Hart;80;777563
157;Donovan Calhoun;37;666576
158;Ezra Hester;76;716956
159;Keefe Fitzpatrick;72;321101
160;Alden Molina;38;338742
161;Brendan Dyer;91;752730
162;Shad Mckay;88;100620
163;Bruno Green;72;382692
164;Palmer Frederick;40;61397
165;Hayes Duncan;80;795683
166;Mason Haley;66;254293
167;Marshall Briggs;69;700633
168;Odysseus Oconnor;32;859411
169;Victor Tillman;73;801078
170;Jakeem Holland;93;645389
171;Rajah Kemp;31;553533
172;Ray Cherry;72;256468
173;Hamish Frye;33;110001
174;Moses Lynn;54;367960
175;Macaulay Tucker;34;391312
176;Kevin Bowman;47;536686
177;Zachery Slater;53;494743
178;Devin Daniels;39;88023
179;Neville Carroll;74;524038
180;Edward Day;84;748913
181;Judah Sampson;90;245350
182;Fletcher Conrad;72;22707
183;Bernard Myers;58;696749
184;Oscar Moreno;46;739668
185;Ivor Maddox;46;779561
186;Price Graves;90;498341
187;Jared Joyce;30;829306
188;Nero Robertson;70;265020
189;Kibo Higgins;65;952988
190;Len Bradshaw;98;723236
191;Paki Gregory;59;505454
192;Abdul Morales;46;502061
193;Channing Hyde;49;975277
194;Rogan Cain;63;336833
195;Lee Jones;41;333978
196;Dante Poole;71;854424
197;Cade Bolton;87;771827
198;Carl Riggs;64;928635
199;Brian Tran;60;147276
200;Josiah Nguyen;75;743083
201;Brent Tyler;80;952821
202;Allistair Cochran;50;658517
203;Mark Hoover;99;926859
204;Cameron Mason;85;331635
205;Luke Mcconnell;36;823914
206;Ferris Mcconnell;83;494620
207;Ishmael Clements;74;42036
208;Samuel Edwards;84;974591
209;Carl Kaufman;95;222362
210;Marvin Crane;91;343434
211;Lyle Slater;48;823005
212;Guy Barrera;40;75731
213;Lev Dillard;93;982068
214;Ronan Moore;63;320195
215;Richard Brewer;54;664675
216;Flynn Burke;75;542014
217;Lance Marquez;83;286288
218;Porter Merritt;73;426597
219;Hyatt Stone;47;893498
220;Tyrone Harmon;98;551858
221;Levi Simpson;67;458968
222;Isaiah Abbott;84;309895
223;Benjamin Buck;98;469016
224;Colton Mckay;30;839577
225;Caldwell Ratliff;38;934253
226;Gabriel Pope;55;849292
227;Lars Mcguire;82;537194
228;Yuli Page;35;617036
229;Judah Mcneil;34;41958
230;Lane Shannon;53;712789
231;Vladimir Forbes;42;185309
232;Thor Clark;31;70771
233;Upton Caldwell;100;308903
234;Steel Gonzales;40;481942
235;Vladimir Sweet;30;931019
236;Kevin Boyd;68;143896
237;Myles Mcpherson;41;314757
238;Hayes Kirby;31;395788
239;Rashad Combs;70;704393
240;Francis Mccarty;84;300427
241;Neville Reeves;72;583073
242;Bert Pugh;33;62389
243;Lionel Benton;99;231513
244;Cadman Leach;55;853506
245;Brock Leach;41;584747
246;Alden Clayton;98;833108
247;Fritz Little;67;737347
248;Brady Flowers;31;834350
249;Andrew Meyers;59;168918
250;Fritz Jackson;45;13135
251;John Contreras;46;688928
252;Noah Mccormick;68;861701
253;Blaze Pacheco;61;150299
254;Stuart Henson;99;251666
255;Wade Klein;99;76232
256;Rashad Aguirre;93;856429
257;Levi Frederick;31;998515
258;Price Day;30;317031
259;Hamish Day;100;157553
260;Reuben Levy;30;927683
261;Colton Howell;34;115594
262;Slade Barrera;54;811301
263;Julian Garrison;92;355871
264;Erasmus Rivers;44;966946
265;Barrett Dalton;98;866562
266;Hedley Whitney;42;875676
267;Channing Christensen;31;19769
268;Nathan Ball;96;937033
269;Ira Aguilar;33;350869
270;Amery Harrison;40;599122
271;Noah Baker;97;69218
272;Raymond Carrillo;31;893938
273;Fritz Wright;83;819242
274;Wayne Walker;79;162146
275;Bernard Pena;41;811586
276;Otto Bridges;82;238811
277;Bert Rollins;70;161626
278;Cedric Pitts;83;907293
279;Paul Osborn;98;569372
280;Samson Wyatt;62;217971
281;Yuli Cunningham;31;943034
282;Byron Perry;36;261542
283;Harper Duran;34;190902
284;Fletcher Salinas;59;471265
285;Kuame Wooten;73;784125
286;Nigel Gross;78;482799
287;Aristotle Mullins;33;902411
288;Luke King;37;634900
289;Nicholas Campos;70;867191
290;Silas Nieves;38;299999
291;Uriah Cochran;63;296673
292;Zane Sweet;83;596600
293;Tad Hahn;56;601254
294;Orlando Benson;35;803848
295;Nicholas Burgess;79;370671
296;Len Sanford;100;340995
297;Walter Mathews;44;813962
298;Craig Gaines;37;176830
299;James Mccarthy;62;502388
300;Hu Cruz;36;355486
301;Kermit Hyde;97;336744
302;Jin Atkins;39;251924
303;Brody Sharpe;73;758722
304;Lyle Mclaughlin;36;607729
305;Carl Fitzgerald;59;418294
306;Lars Lara;71;123601
307;Berk Barnett;73;575992
308;Damian Park;95;842347
309;Callum Stafford;42;696546
310;Tarik Foster;96;36028
311;Brody Lowery;85;790027
312;Byron Stephenson;57;330907
313;Caleb Salas;82;777193
314;Elvis Fuentes;93;435613
315;Finn Kinney;30;613028
316;Christian Vaughn;61;376452
317;Rafael Merrill;34;680316
318;Ulric Acevedo;79;70681
319;Julian Juarez;90;701769
320;Fitzgerald Dillard;31;527934
321;Amir Reilly;51;383008
322;Austin Coleman;87;439157
323;Michael Salazar;33;894464
324;Octavius Kelly;48;524616
325;Blaze Garner;43;46171
326;Elvis Tillman;36;877917
327;Garrison Waters;70;747935
328;Chaim Mcintyre;49;243933
329;Finn Martinez;73;440440
330;Palmer Hickman;91;449618
331;Colorado Tyler;53;959103
332;Grady Mckenzie;63;521363
333;Upton Norris;69;264293
334;Keith Mosley;39;962299
335;Knox Patrick;80;787971
336;Duncan Williams;31;668494
337;Joshua Moody;37;304013
338;Anthony Wilcox;82;290201
339;Tad Blankenship;47;289650
340;Maxwell Peters;86;611623
341;George Goodman;91;971600
342;Abbot Zamora;96;604881
343;Nathaniel Moran;57;24277
344;Len Hendrix;78;167333
345;Amal Roberts;62;108012
346;Otto Contreras;57;630546
347;Declan Meyers;94;955403
348;Evan Patrick;69;742213
349;Aristotle Hodges;80;72689
350;Hamilton Morris;77;141087
351;Devin Bauer;40;902079
352;Holmes Schwartz;34;508780
353;Lamar Lancaster;72;360076
354;Nero Wong;99;988426
355;Lane Sweet;96;953064
356;Knox Klein;79;661783
357;Valentine Head;81;364860
358;Amery Hardin;64;338645
359;Harrison Mooney;46;897642
360;Hop Fletcher;58;79287
361;Reece Adams;60;526629
362;Zachery Heath;66;600746
363;Dolan Hudson;69;892832
364;Wayne Dillon;69;893530
365;Lucius Espinoza;47;694978
366;Malachi Prince;31;103592
367;Galvin Duncan;100;845095
368;Justin Harrington;94;365378
369;Geoffrey Gilbert;92;389094
370;Oren Harrell;99;44536
371;Samuel Lee;95;805683
372;Plato Jimenez;79;420912
373;Otto Waters;37;412196
374;Michael Cain;65;77586
375;Garth Kelley;94;938346
376;Tanek Schultz;51;285550
377;Caldwell Clayton;76;904544
378;Keane Moran;96;418739
379;Camden Spencer;45;940869
380;Erich Underwood;55;99498
381;Simon Hurst;65;553174
382;Kieran Young;73;981048
383;Ivan Lee;95;379182
384;Ferris Cunningham;76;521318
385;Gavin Freeman;59;961640
386;Walter Graves;56;131993
387;Cole Mcdonald;34;569821
388;James Hewitt;76;369668
389;Talon Carver;94;479502
390;Byron Lee;62;642999
391;Aquila Guzman;30;417553
392;Kevin Newman;95;981906
393;Xavier Gomez;96;930152
394;Nathaniel Fuentes;33;931066
395;Tobias Burch;65;417156
396;Jonas Carter;84;421967
397;Driscoll Oneal;93;459714
398;Clinton Glover;36;280316
399;Nigel Brooks;78;315018
400;Plato Medina;50;748099
401;Wesley Delacruz;77;671148
402;Justin Pierce;72;463115
403;Samuel Bradshaw;91;385053
404;Curran Morin;86;554526
405;Emerson Olson;30;550034
406;Alec Bray;88;752467
407;Christian Kirk;34;973656
408;Bradley Golden;81;86432
409;Kennedy Harrison;82;139269
410;Brandon Glass;71;965800
411;Harrison Hull;54;686202
412;Benjamin Cannon;46;436516
413;Ronan Diaz;99;856868
414;Emmanuel Rosario;72;543769
415;Donovan Newman;66;420079
416;Acton Dejesus;64;596107
417;Lester Dennis;81;749580
418;Kennan Frazier;80;26779
419;Phillip Beck;79;870171
420;Channing Walker;51;30465
421;Camden Everett;92;510598
422;Asher Jordan;33;375255
423;Buckminster Maldonado;85;164717
424;Rafael Evans;83;420151
425;Jason James;41;99822
426;Quentin Stephenson;37;554381
427;Uriel Salas;59;135446
428;Oren Perkins;40;911968
429;Zeph Austin;59;74609
430;James Hurley;60;653400
431;Ahmed Curtis;87;809694
432;Ivor Mack;45;12982
433;Aladdin Hansen;36;809105
434;Dane Cooper;55;196028
435;Abraham Rivers;52;752280
436;Jack Hurst;76;493748
437;Isaiah Blanchard;69;990544
438;Joseph Woodward;75;562471
439;Christopher House;55;700466
440;Aaron Mccray;79;36142
441;Xander Rosario;89;236272
442;Zeph Colon;59;14647
443;Wyatt Poole;83;466046
444;Chaney Herring;97;681795
445;Ivor Kirk;77;41735
446;Ivor Franks;71;699792
447;Patrick Weeks;57;759343
448;Josiah Bradshaw;85;519968
449;Tate Mendez;82;885617
450;Reece Chambers;93;776238
451;Thaddeus Morin;46;93482
452;Arden Cochran;84;556354
453;Micah Holden;71;186598
454;Oren Clark;92;502240
455;Brent English;48;677050
456;Forrest Barlow;43;260312
457;Magee Wagner;39;467268
458;Baxter Ayala;46;984120
459;Martin James;34;731749
460;Magee Sexton;49;348093
461;Daquan Spence;66;14393
462;Allen Hartman;65;177154
463;Mark Reed;89;38084
464;Raja Baldwin;49;453086
465;William Hewitt;94;66282
466;Hayes Carney;32;123903
467;Lee Bryan;89;277517
468;Vernon Bush;73;211379
469;Zachery Calderon;44;38434
470;Jesse Patterson;44;199114
471;Howard Barr;45;265907
472;Ashton King;80;45496
473;Tyler Melton;36;370442
474;Perry Calhoun;64;382858
475;Cullen Galloway;75;191067
476;Hedley Dunn;57;443701
477;Gary Mcgee;63;917671
478;Drew Newton;37;771248
479;Nathan Garner;31;778535
480;Ross Porter;87;749503
481;Ezra Tran;37;118705
482;Allen Mcdonald;64;288174
483;Trevor Calhoun;62;368042
484;Gavin Skinner;86;784212
485;Hayes Ellison;79;750532
486;Uriel Ryan;66;639124
487;Brian Love;59;962232
488;Demetrius Davenport;80;630583
489;Brennan Saunders;82;175490
490;Gray Davenport;61;330257
491;Finn Underwood;78;750716
492;Peter Joyner;67;214501
493;Owen Dean;97;685527
494;Ali Jarvis;52;178129
495;Adrian Pitts;39;300834
496;Walter Sheppard;95;91499
497;Malik Murray;47;79742
498;Tad Pacheco;57;244347
499;Lane Blevins;99;378157
500;Kasper Lancaster;71;322263
501;Orson Levy;100;782278
502;Abdul Fry;97;30254
503;Amal Bond;52;998750
504;Tyrone Deleon;35;586636
505;Thaddeus Garza;76;774767
506;Alden Barton;30;641457
507;Brenden Yang;30;693018
508;Jarrod Mccullough;30;260967
509;Branden Adams;32;134468
510;Edward Wolfe;40;370263
511;Armando Hunter;55;987283
512;Mufutau Horn;70;591527
513;Prescott Daugherty;55;804397
514;Davis Guerrero;61;401350
515;Flynn Howe;36;873751
516;Allen Boyer;38;167704
517;Beau Cervantes;50;418233
518;Bruno Holden;85;216036
519;Thaddeus Campos;43;591024
520;Kenneth Rich;42;363273
521;Zachary Lewis;41;264207
522;Timon Mckay;76;273835
523;Amir Powers;39;96733
524;Ross Elliott;47;922295
525;Hamilton Lester;53;571884
526;William Bryant;85;856213
527;Dale Wiley;61;833304
528;Oliver Melton;43;726011
529;Byron Golden;99;62884
530;Wade Monroe;52;996764
531;Fritz Humphrey;35;205275
532;Noble Gates;38;156880
533;Solomon Huber;80;828050
534;Kasper Kelley;78;813654
535;Honorato Burris;75;206400
536;Omar Sexton;95;889922
537;Carter Todd;96;135552
538;Jonah Eaton;38;904106
539;Nissim Craft;37;450445
540;Joseph Dalton;72;408291
541;Martin Franks;46;242172
542;Raphael Turner;33;270696
543;Alexander Orr;62;773392
544;Jerome Hansen;76;704098
545;Devin Mckinney;88;820541
546;Solomon Weaver;81;589478
547;Cairo Schmidt;32;701526
548;Allistair Meyers;37;716030
549;Valentine Garrison;97;736109
550;Craig Wynn;100;278864
551;Merrill Humphrey;33;213128
552;Samson Parker;94;135542
553;Driscoll Potter;97;177333
554;Merritt Nicholson;83;846621
555;Ivan Rodgers;68;535737
556;Grant Morris;47;347316
557;Xanthus Combs;35;220881
558;Chadwick Bird;64;870806
559;Joel Leblanc;35;377537
560;Colt Wise;65;539259
561;Neville Horn;79;406879
